use|use#used#used by#uses
subclass|subclass#subclass of
part|part#part of#part of happy times#part of the series
practice|practiced#practiced by
facet|facet#facet of
product|product#product or material produced
participant|participant#participant in
instance|instance#instance of
depict|depicts
sport|sport#sports#sports discipline competed in
opposite|opposite#opposite of
field|field#field of this occupation#field of work
spouse|spouse
main|main#main subject
different|different#different from
item|item#item operated
author|author
notable|notable#notable work
follow|followed#followed by#follows
say|said#said to be the same as
location|location#location of formation
character|characters
own|owned#owned by
present|present#present in work
country|country#country of citizenship#country of origin
locate|located#located on street
owner|owner#owner of
instrument|instrument
occupant|occupant
sibling|sibling
name|named#named after
connect|connecting#connecting line#connects#connects with
performer|performer
subsidiary|subsidiary
parent|parent#parent organization#parent taxon
genre|genre
cast|cast#cast member
contain|contains
child|child
narrative|narrative#narrative location
base|based#based on
derivative|derivative#derivative work
capital|capital#capital of
occupation|occupation
residence|residence
mother|mother
study|studied#studied by#studies
member|member#member of#member of political party#member of sports team
manufacturer|manufacturer
father|father
significant|significant#significant event
