video_id,keyframe_count
video0,4
video1,5
video10,2
video100,6
video1000,2
video1001,3
video1002,2
video1003,5
video1004,3
video1005,4
video1006,3
video1007,2
video1008,3
video1009,3
video101,7
video1010,3
video1011,2
video1012,2
video1013,4
video1014,3
video1015,2
video1016,3
video1017,5
video1018,2
video1019,2
video102,5
video1020,4
video1021,3
video1022,2
video1023,3
video1024,2
video1025,5
video1026,3
video1027,4
video1028,2
video1029,3
video103,2
video1030,2
video1031,4
video1032,1
video1033,5
video1034,4
video1035,4
video1036,5
video1037,2
video1038,3
video1039,3
video104,6
video1040,3
video1041,3
video1042,7
video1043,3
video1044,7
video1045,6
video1046,2
video1047,2
video1048,3
video1049,3
video105,4
video1050,6
video1051,2
video1052,3
video1053,3
video1054,1
video1055,5
video1056,4
video1057,4
video1058,3
video1059,2
video106,5
video1060,3
video1061,2
video1062,2
video1063,3
video1064,3
video1065,4
video1066,2
video1067,3
video1068,5
video1069,2
video107,2
video1070,4
video1071,4
video1072,5
video1073,4
video1074,2
video1075,4
video1076,3
video1077,8
video1078,4
video1079,3
video108,3
video1080,5
video1081,2
video1082,2
video1083,5
video1084,4
video1085,4
video1086,5
video1087,3
video1088,2
video1089,3
video109,4
video1090,3
video1091,3
video1092,3
video1093,4
video1094,9
video1095,4
video1096,5
video1097,2
video1098,2
video1099,2
video11,2
video110,8
video1100,2
video1101,3
video1102,2
video1103,2
video1104,4
video1105,2
video1106,2
video1107,3
video1108,4
video1109,1
video111,2
video1110,4
video1111,2
video1112,3
video1113,3
video1114,3
video1115,2
video1116,2
video1117,3
video1118,3
video1119,4
video112,4
video1120,3
video1121,2
video1122,3
video1123,2
video1124,4
video1125,2
video1126,2
video1127,4
video1128,3
video1129,4
video113,3
video1130,2
video1131,2
video1132,3
video1133,5
video1134,4
video1135,2
video1136,3
video1137,2
video1138,2
video1139,5
video114,5
video1140,2
video1141,2
video1142,3
video1143,2
video1144,3
video1145,4
video1146,5
video1147,7
video1148,3
video1149,4
video115,4
video1150,4
video1151,2
video1152,4
video1153,3
video1154,3
video1155,5
video1156,6
video1157,3
video1158,5
video1159,3
video116,4
video1160,12
video1161,4
video1162,4
video1163,5
video1164,4
video1165,6
video1166,3
video1167,6
video1168,3
video1169,2
video117,3
video1170,2
video1171,2
video1172,7
video1173,4
video1174,3
video1175,4
video1176,4
video1177,2
video1178,2
video1179,2
video118,4
video1180,3
video1181,5
video1182,4
video1183,2
video1184,2
video1185,4
video1186,4
video1187,4
video1188,4
video1189,3
video119,10
