video_id,duration
video0,12.0
video1,22.007302
video10,13.0
video100,10.01
video1000,11.0
video1001,12.0
video1002,12.012
video1003,11.011
video1004,20.02
video1005,10.01
video1006,12.0
video1007,10.01
video1008,19.0
video1009,15.0
video101,26.026
video1010,18.015465
video1011,12.012
video1012,14.014
video1013,27.0
video1014,16.0
video1015,11.0
video1016,19.0
video1017,13.013
video1018,12.0
video1019,13.013
video102,12.012
video1020,14.0
video1021,13.013
video1022,16.001542
video1023,10.022811
video1024,11.011
video1025,28.028
video1026,23.00975
video1027,15.019093
video1028,11.011
video1029,12.012
video103,10.019795
video1030,11.011
video1031,14.014
video1032,10.0
video1033,11.011
video1034,11.011
video1035,18.018
video1036,26.0
video1037,12.0
video1038,22.011292
video1039,12.012
video104,11.0
video1040,13.013
video1041,17.017
video1042,12.019728
video1043,12.012
video1044,11.0
video1045,12.0
video1046,13.013
video1047,18.018
video1048,18.018685
video1049,10.01
video105,27.006802
video1050,25.002994
video1051,10.01
video1052,11.0
video1053,17.0
video1054,12.0
video1055,15.009093
video1056,10.0
video1057,30.0
video1058,17.017
video1059,11.0
video106,19.019
video1060,17.017
video1061,11.011
video1062,11.011
video1063,15.015102
video1064,19.0
video1065,22.022
video1066,13.0
video1067,16.0
video1068,15.0
video1069,14.014
video107,16.016
video1070,10.0
video1071,11.0
video1072,11.0
video1073,14.014
video1074,11.008254
video1075,30.03
video1076,10.0
video1077,11.0
video1078,15.015
video1079,10.01
video108,22.022
video1080,11.0
video1081,10.010793
video1082,10.01
video1083,10.01
video1084,29.02153
video1085,19.022154
video1086,10.0
video1087,10.014807
video1088,10.01
video1089,15.0
video109,11.0
video1090,25.025
video1091,13.013
video1092,13.980633
video1093,12.00771
video1094,23.023
video1095,30.0
video1096,21.001837
video1097,10.0
video1098,12.012
video1099,10.0
video11,12.012
video110,16.016
video1100,12.012722
video1101,18.0
video1102,13.0
video1103,10.01
video1104,29.029
video1105,11.011
video1106,10.0078
video1107,17.0
video1108,13.013
video1109,10.0
video111,12.010726
video1110,14.014
video1111,11.011
video1112,11.011011
video1113,10.01
video1114,25.019207
video1115,10.0
video1116,12.012
video1117,21.021
video1118,14.014
video1119,11.011
video112,14.014
video1120,17.017
video1121,11.011
video1122,16.016
video1123,26.0
video1124,19.0
video1125,11.0
video1126,11.011
video1127,11.0
video1128,22.989633
video1129,12.012
video113,22.022
video1130,10.01
video1131,11.011
video1132,14.014
video1133,12.012
video1134,13.013
video1135,14.015624
video1136,11.0
video1137,10.0
video1138,16.0
video1139,13.0
video114,10.01
video1140,11.0
video1141,10.0
video1142,11.0
video1143,12.012
video1144,13.013
video1145,12.0
video1146,25.025
video1147,13.0
video1148,23.023
video1149,10.0078
video115,20.02
video1150,13.013
video1151,12.012
video1152,28.028
video1153,12.022722
video1154,17.017
video1155,12.0
video1156,13.013
video1157,15.0
video1158,11.011
video1159,13.013
video116,13.013
video1160,27.027
video1161,10.01
video1162,19.019
video1163,12.012
video1164,28.028
video1165,10.0
video1166,11.011
video1167,15.015
video1168,13.003175
video1169,11.011
video117,24.024
video1170,14.014
video1171,11.0
video1172,12.018708
video1173,14.014
video1174,19.019
video1175,11.011
video1176,22.022
video1177,11.011
video1178,12.012
video1179,13.0
video118,10.000589
video1180,10.01
video1181,15.0
video1182,13.013
video1183,15.015
video1184,19.011928
video1185,10.0178
video1186,14.981633
video1187,24.009433
video1188,11.0
video1189,15.015
video119,14.015624
video1190,25.025
video1191,11.011
video1192,10.005578
video1193,19.019
video1194,11.011
video1195,13.0
video1196,10.977633
video1197,17.020227
video1198,10.0
video1199,11.011
video12,10.01
video120,14.014
video1200,14.014
video1201,25.025
video1202,12.012
video1203,11.0
video1204,11.011
video1205,10.014807
video1206,18.018
video1207,13.0
video1208,14.0
video1209,13.013
video121,17.017
video1210,15.015102
video1211,12.012
video1212,12.0
video1213,11.012268
video1214,15.015
video1215,10.01
video1216,11.0
video1217,13.0
video1218,28.000045
video1219,10.01
video122,17.0
video1220,11.011
video1221,10.001587
video1222,10.01
video1223,11.0
video1224,10.001587
video1225,11.006259
video1226,13.01517
video1227,30.0
video1228,14.0
video1229,12.021724
video123,14.016644
video1230,17.019002
video1231,14.0
video1232,19.0
video1233,13.019184
video1234,12.013719
video1235,15.015
video1236,20.0
video1237,22.0
video1238,20.0
video1239,14.0
video124,12.012
video1240,15.015
video1241,13.013
video1242,29.002721
video1243,11.011
video1244,21.021
video1245,10.01
video1246,13.003175
video1247,18.018018
video1248,10.01
video1249,11.013216
video125,11.0
video1250,22.022
video1251,16.016
video1252,11.0
video1253,10.00458
video1254,11.011
video1255,13.0
video1256,11.011
video1257,14.0
video1258,11.0
video1259,12.012
video126,10.0
video1260,11.0
video1261,10.0
video1262,10.0
video1263,21.021
video1264,15.0
video1265,20.02
video1266,13.013
video1267,20.009388
video1268,10.0178
video1269,27.004807
video127,9.976633
video1270,14.00864
video1271,20.02
video1272,10.752993
video1273,23.002766
video1274,13.0
video1275,16.000544
video1276,29.029
video1277,12.012
video1278,15.015
video1279,10.0
video128,13.013
video1280,19.019
video1281,14.014
video1282,11.0
video1283,11.011
video1284,15.020091
video1285,13.0
video1286,10.0
video1287,12.012
video1288,10.01
video1289,10.0
video129,11.011
video1290,17.017
video1291,12.018708
video1292,11.011
video1293,17.0
video1294,11.011
video1295,11.011011
video1296,10.01
video1297,10.01
video1298,11.018254
video1299,14.981633
video13,12.0
video130,10.01
video1300,18.0
video1301,16.0
video1302,10.0
video1303,17.017
video1304,14.014
video1305,12.012
video1306,12.012
video1307,11.011
video1308,11.011
video1309,19.019
video131,22.018526
video1310,13.0
video1311,13.0
video1312,11.970292
video1313,12.012
video1314,21.021
video1315,12.012
video1316,16.016
video1317,10.01
video1318,12.012
video1319,23.023
video132,11.012268
video1320,12.012
video1321,22.022
video1322,11.0
video1323,12.0
video1324,11.011
video1325,10.016802
video1326,11.0
video1327,17.0
video1328,29.019728
video1329,12.012
video133,10.012811
video1330,14.001633
video1331,23.023
video1332,22.022
video1333,20.0
video1334,11.011
video1335,13.013
video1336,11.011
video1337,12.012
video1338,10.019795
video1339,25.025
video134,10.01
video1340,11.0
video1341,11.016259
video1342,21.0
video1343,11.011
video1344,12.0
video1345,21.0
video1346,27.027
video1347,11.011
video1348,10.021791
video1349,13.013
video135,20.0
video1350,10.019795
video1351,25.0
video1352,12.012
video1353,16.000544
video1354,13.013
video1355,22.022
video1356,10.020793
video1357,10.01
video1358,25.0
video1359,9.976633
video136,24.024
video1360,11.0
video1361,13.013
video1362,12.012
video1363,11.011
video1364,17.017
video1365,11.0
video1366,11.011
video1367,12.0
video1368,16.016
video1369,11.0
video137,17.017007
video1370,16.004558
video1371,22.022
video1372,14.0
video1373,11.0
video1374,28.028
video1375,15.007098
video1376,13.0
video1377,10.0
video1378,11.011
video1379,11.011
video138,22.022
video1380,16.017619
video1381,11.0
video1382,18.018
video1383,13.0
video1384,12.012
video1385,10.0
video1386,11.018254
video1387,10.01
video1388,11.01025
video1389,16.016
video139,10.0
video1390,15.0
video1391,29.029
video1392,12.021724
video1393,16.0
video1394,18.0
video1395,17.017
video1396,10.002585
video1397,10.01
video1398,12.012
video1399,13.00195
video14,11.0
video140,12.012
video1400,11.011
video1401,14.012631
video1402,11.011
video1403,12.006712
video1404,13.033017
video1405,16.0
video1406,23.0
video1407,10.019795
video1408,22.022
video1409,13.013
video141,15.012086
video1410,10.01
video1411,13.0
video1412,12.0
video1413,23.023
video1414,13.013
video1415,11.011
video1416,20.02
video1417,11.0
video1418,10.01
video1419,15.015
video142,10.01
video1420,10.0
video1421,12.012
video1422,18.0
video1423,21.021
video1424,15.015
video1425,10.01
video1426,14.014
video1427,16.016
video1428,17.015012
video1429,18.0
video143,11.011
video1430,22.0
video1431,14.014
video1432,12.012
video1433,18.018
video1434,13.013
video1435,13.0
video1436,12.012
video1437,11.011
video1438,15.015
video1439,27.027
video144,10.01
video1440,11.011
video1441,15.015
video1442,13.013
video1443,13.0
video1444,11.02127
video1445,10.01
video1446,13.013
video1447,10.0
video1448,20.02
video1449,19.0
video145,13.0
video1450,11.0
video1451,14.014
video1452,13.013
video1453,15.586009
video1454,15.015
video1455,18.018
video1456,17.017007
video1457,15.015
video1458,13.013
video1459,11.0
video146,12.0
video1460,10.01
video1461,12.0
video1462,11.011
video1463,14.0
video1464,11.011
video1465,12.0
video1466,12.0
video1467,11.011
video1468,12.0
video1469,28.028
video147,14.014
video1470,30.0
video1471,24.024
video1472,14.0
video1473,12.012
video1474,11.012268
video1475,10.0
video1476,18.018
video1477,14.014
video1478,17.017
video1479,14.014
video148,13.013
video1480,11.012268
video1481,12.012
video1482,13.0
video1483,14.014
video1484,11.011
video1485,10.0
video1486,10.0
video1487,15.015
video1488,11.008254
video1489,19.019
video149,11.011
video1490,15.015
video1491,14.014
video1492,12.0
video1493,17.017
video1494,11.011
video1495,15.0
video1496,12.012
video1497,13.008186
video1498,11.011
video1499,11.011
video15,25.025
video150,13.022177
video1500,11.011
video1501,13.013
video1502,11.011
video1503,11.0
video1504,21.00483
video1505,17.017
video1506,12.012
video1507,11.011
video1508,21.988633
video1509,10.0078
video151,14.014
video1510,15.015
video1511,21.0
video1512,12.012994
video1513,18.018
video1514,12.979633
video1515,10.0
video1516,11.011
video1517,19.004921
video1518,20.02
video1519,11.011
video152,20.0
video1520,11.011
video1521,15.015
video1522,11.011
video1523,12.979633
video1524,12.012
video1525,11.0
video1526,10.0
video1527,16.016
video1528,10.01
video1529,21.021
video153,16.016
video1530,15.018096
video1531,18.0
video1532,10.0
video1533,20.0
video1534,15.0
video1535,10.0
video1536,26.015351
video1537,10.01
video1538,14.014
video1539,10.01
video154,12.0
video1540,11.0
video1541,14.015624
video1542,10.0
video1543,11.012268
video1544,11.0
video1545,24.012426
video1546,12.012
video1547,15.0
video1548,12.016712
video1549,12.0
video155,15.000091
video1550,10.020793
video1551,10.011791
video1552,12.019728
video1553,12.012
video1554,11.011
video1555,11.011
video1556,10.01
video1557,13.0
video1558,10.0
video1559,11.02025
video156,19.019
video1560,19.019499
video1561,12.012
video1562,11.0
video1563,10.0178
video1564,10.01
video1565,12.012
video1566,11.0
video1567,22.019524
video1568,18.018
video1569,12.0
video157,13.0
video1570,11.0
video1571,25.022902
video1572,24.0
video1573,11.0
video1574,10.0
video1575,20.0
video1576,12.012
video1577,17.017
video1578,15.015
video1579,11.011
video158,21.021
video1580,15.015
video1581,12.012
video1582,23.023
video1583,11.0
video1584,11.011
video1585,15.015
video1586,11.978633
video1587,18.010476
video1588,13.013
video1589,11.016259
video159,14.014014
video1590,14.0
video1591,11.0
video1592,23.010975
video1593,11.011
video1594,12.012
video1595,23.023
video1596,10.01
video1597,12.012
video1598,28.028
video1599,12.012
video16,21.01805
video160,13.013
video1600,12.979633
video1601,16.016
video1602,11.009252
video1603,16.007551
video1604,23.017982
video1605,11.011
video1606,12.012
video1607,16.0
video1608,29.002721
video1609,11.011
video161,11.0
video1610,23.023
video1611,19.005918
video1612,17.01
video1613,10.0
video1614,15.0
video1615,11.0
video1616,17.017
video1617,18.0
video1618,12.012
video1619,12.012
video162,10.01
video1620,13.013
video1621,12.012
video1622,10.977633
video1623,11.011
video1624,10.0
video1625,13.008186
video1626,11.0
video1627,11.011
video1628,11.0
video1629,21.021
video163,14.014
video1630,9.976633
video1631,26.026
video1632,13.013
video1633,10.01
video1634,14.016644
video1635,14.0
video1636,16.0
video1637,11.978633
video1638,13.01118
video1639,11.0
video164,22.0
video1640,11.011
video1641,11.018364
video1642,14.0
video1643,26.0
video1644,16.017551
video1645,12.012
video1646,15.002086
video1647,17.007007
video1648,10.0
video1649,11.011
video165,18.0
video1650,10.0178
video1651,12.012
video1652,10.0
video1653,14.014
video1654,13.0
video1655,12.012
video1656,18.018
video1657,15.015
video1658,11.011
video1659,14.017642
video166,11.01127
video1660,11.011
video1661,11.0
video1662,14.014
video1663,14.022631
video1664,10.977633
video1665,14.014
video1666,11.011
video1667,13.013
video1668,14.014
video1669,10.0
video167,16.016
video1670,10.0
video1671,11.0
video1672,13.0
video1673,13.013
video1674,22.022
video1675,17.017
video1676,10.01
video1677,12.0
video1678,12.0
video1679,13.0
video168,11.0
video1680,16.0
video1681,12.012
video1682,26.026
video1683,11.0
video1684,12.0
video1685,10.01
video1686,24.015442
video1687,15.015
video1688,15.017098
video1689,13.013
video169,12.012
video1690,13.0
video1691,12.012
video1692,16.005556
video1693,10.01
video1694,12.021724
video1695,13.0
video1696,19.009932
video1697,13.00195
video1698,16.018549
video1699,20.02
video17,12.0
video170,19.019
video1700,11.011
video1701,15.015
video1702,18.018
video1703,14.012631
video1704,13.013
video1705,14.014
video1706,28.028
video1707,11.0
video1708,14.014
video1709,10.01
video171,16.020544
video1710,15.982633
video1711,15.021089
video1712,12.013719
video1713,12.0
video1714,12.012
video1715,11.011
video1716,18.018
video1717,10.0
video1718,23.023
video1719,11.011
video172,13.013
video1720,12.0
video1721,26.993633
video1722,12.0
video1723,11.0
video1724,11.0
video1725,20.02
