video_id,keyframe_count
-4wsuPCjDBc_5_15,12
-7KMZQEsJW4_205_208,1
-8y1Q0rA3n8_108_115,5
-8y1Q0rA3n8_95_102,5
-9CUm-2cui8_39_44,4
-AwoiGR6c8M_10_14,3
-bjOB4zS0uE_100_105,3
-Cv5LsqKUXc_17_25,11
-Cv5LsqKUXc_71_76,6
-DKuLXYoY3g_14_20,7
-dm-ds5rRaM_44_52,5
-DRy7rBg0IQ_31_37,4
-FugkxLmGO4_5_16,12
-joBOHlg5J0_72_80,5
-mAoVOhKy0c_4_9,6
-Ms9tsWmhyU_80_95,8
-pUwIypksfE_13_23,11
-rkErLY0rRc_26_35,5
-rkErLY0rRc_63_67,3
-rvjK0lE3z4_33_43,6
-s4-6QTT7HE_235_241,4
-t-ZWaJeH-o_0_15,16
-uT_1VDvXok_8_15,4
-vg3vR86fu0_1_6,6
-vKO3uSG6Do_3_14,6
-wa0umYJVGg_100_115,9
-wa0umYJVGg_117_123,4
-wa0umYJVGg_139_157,12
-wa0umYJVGg_168_176,5
-wa0umYJVGg_23_41,11
-wa0umYJVGg_271_276,3
-wa0umYJVGg_286_290,3
-YI0cxuNcq8_262_272,6
-zOrV-5vh1A_69_76,4
-_aaMGK6GGw_57_61,9
-_hbPLsZvvo_172_179,8
-_hbPLsZvvo_18_25,8
-_hbPLsZvvo_19_25,7
-_hbPLsZvvo_19_26,9
-_hbPLsZvvo_211_219,9
-_hbPLsZvvo_269_275,8
-_hbPLsZvvo_288_305,20
-_hbPLsZvvo_323_328,6
-_hbPLsZvvo_43_55,14
-_hbPLsZvvo_49_55,7
-_hbPLsZvvo_5_8,4
00jrXRMlZOY_0_10,11
02Z-kuB3IaM_2_13,11
04Gt01vatkk_248_265,9
04Gt01vatkk_308_321,7
05gNigkqfNU_11_23,7
05gNigkqfNU_24_32,5
05gNigkqfNU_25_34,5
05gNigkqfNU_78_84,4
05Gtb7_9tLU_0_9,4
06CbMa0kDr8_3_13,6
08pVpBq706k_175_212,19
0bSz70pYAP0_5_15,7
0GXq1An3yHI_22_35,8
0hyZ__3YhZc_279_283,2
0hyZ__3YhZc_289_295,3
0hyZ__3YhZc_302_307,3
0hyZ__3YhZc_341_348,4
0hyZ__3YhZc_352_356,2
0hyZ__3YhZc_364_370,3
0hyZ__3YhZc_380_384,2
0hyZ__3YhZc_388_394,3
0hyZ__3YhZc_410_417,4
0hyZ__3YhZc_418_424,3
0hyZ__3YhZc_485_490,3
0hyZ__3YhZc_562_568,3
0hyZ__3YhZc_575_580,3
0hyZ__3YhZc_598_603,3
0hyZ__3YhZc_632_637,3
0I4VKj4d0WI_24_40,9
0IDJG0q9j_k_1_24,13
0k1Ak8aTMVI_4_12,3
0lh_UWF9ZP4_103_110,4
0lh_UWF9ZP4_138_145,4
0lh_UWF9ZP4_148_155,4
