video_id,duration,theoretical_duration
-4wsuPCjDBc_5_15,10.027743,10
-7KMZQEsJW4_205_208,3.066667,3
-8y1Q0rA3n8_108_115,7.007,7
-8y1Q0rA3n8_95_102,7.007,7
-9CUm-2cui8_39_44,5.013928,5
-AwoiGR6c8M_10_14,4.011142,4
-bjOB4zS0uE_100_105,5.013928,5
-Cv5LsqKUXc_17_25,8.011127,8
-Cv5LsqKUXc_71_76,5.006954,5
-DKuLXYoY3g_14_20,6.008345,6
-dm-ds5rRaM_44_52,8.008,8
-DRy7rBg0IQ_31_37,6.033333,6
-FugkxLmGO4_5_16,11.04,11
-joBOHlg5J0_72_80,8.008,8
-mAoVOhKy0c_4_9,5.013928,5
-Ms9tsWmhyU_80_95,15.015,15
-pUwIypksfE_13_23,10.01,10
-rkErLY0rRc_26_35,9.009,9
-rkErLY0rRc_63_67,4.004,4
-rvjK0lE3z4_33_43,10.01,10
-s4-6QTT7HE_235_241,6.006,6
-t-ZWaJeH-o_0_15,15.041667,15
-uT_1VDvXok_8_15,7.033333,7
-vg3vR86fu0_1_6,5.033333,5
-vKO3uSG6Do_3_14,11.011,11
-wa0umYJVGg_100_115,15.008357,15
-wa0umYJVGg_117_123,6.016713,6
-wa0umYJVGg_139_157,18.016713,18
-wa0umYJVGg_168_176,8.022284,8
-wa0umYJVGg_23_41,18.016713,18
-wa0umYJVGg_271_276,5.013928,5
-wa0umYJVGg_286_290,4.011142,4
-YI0cxuNcq8_262_272,10.01,10
-zOrV-5vh1A_69_76,7.04,7
-_aaMGK6GGw_57_61,4.004,4
-_hbPLsZvvo_172_179,7.009736,7
-_hbPLsZvvo_18_25,7.009736,7
-_hbPLsZvvo_19_25,6.008345,6
-_hbPLsZvvo_19_26,7.009736,7
-_hbPLsZvvo_211_219,8.011127,8
-_hbPLsZvvo_269_275,6.008345,6
-_hbPLsZvvo_288_305,17.006954,17
-_hbPLsZvvo_323_328,5.006954,5
-_hbPLsZvvo_43_55,12.01669,12
-_hbPLsZvvo_49_55,6.008345,6
-_hbPLsZvvo_5_8,3.004172,3
00jrXRMlZOY_0_10,10.035714,10
02Z-kuB3IaM_2_13,9.84,11
04Gt01vatkk_248_265,17.033333,17
04Gt01vatkk_308_321,13.033333,13
05gNigkqfNU_11_23,12.012,12
05gNigkqfNU_24_32,8.008,8
05gNigkqfNU_25_34,9.009,9
05gNigkqfNU_78_84,6.006,6
05Gtb7_9tLU_0_9,9.066667,9
06CbMa0kDr8_3_13,10.033333,10
08pVpBq706k_175_212,37.002985,37
0bSz70pYAP0_5_15,10.027743,10
0GXq1An3yHI_22_35,13.015184,13
0hyZ__3YhZc_279_283,4.004,4
0hyZ__3YhZc_289_295,6.006,6
0hyZ__3YhZc_302_307,5.005,5
0hyZ__3YhZc_341_348,7.007,7
