video_id,gop_count
video0,9
video1,15
video10,10
video100,9
video1000,8
video1001,9
video1002,10
video1003,10
video1004,16
video1005,9
video1006,9
video1007,9
video1008,16
video1009,13
video101,21
video1010,13
video1011,10
video1012,10
video1013,18
video1014,13
video1015,10
video1016,13
video1017,11
video1018,7
video1019,11
video102,9
video1020,10
video1021,9
video1022,11
video1023,9
video1024,10
video1025,22
video1026,19
video1027,11
video1028,10
video1029,9
video103,9
video1030,10
video1031,10
video1032,8
video1033,10
video1034,10
video1035,15
video1036,17
video1037,10
video1038,18
video1039,10
video104,8
video1040,11
video1041,14
video1042,10
video1043,10
video1044,9
video1045,9
video1046,11
video1047,12
video1048,15
video1049,9
video105,22
video1050,17
video1051,9
video1052,8
video1053,14
video1054,3
video1055,13
video1056,8
video1057,24
video1058,14
video1059,10
video106,16
video1060,14
video1061,10
video1062,10
video1063,13
video1064,16
video1065,18
video1066,10
video1067,11
video1068,10
video1069,12
video107,13
video1070,5
video1071,8
video1072,8
video1073,12
video1074,8
video1075,24
video1076,7
video1077,8
video1078,10
video1079,9
video108,18
video1080,8
video1081,8
video1082,9
video1083,9
video1084,23
video1085,16
video1086,8
video1087,9
video1088,9
video1089,10
video109,8
video1090,20
video1091,11
video1092,12
video1093,9
video1094,19
video1095,24
video1096,17
video1097,8
video1098,10
video1099,7
video11,10
video110,11
video1100,10
video1101,15
video1102,11
video1103,9
video1104,19
video1105,10
video1106,9
video1107,14
video1108,11
video1109,4
video111,9
video1110,10
video1111,10
video1112,10
video1113,9
video1114,20
video1115,9
video1116,10
video1117,14
video1118,12
video1119,8
video112,10
video1120,12
video1121,10
video1122,13
video1123,11
video1124,13
video1125,10
video1126,10
video1127,8
video1128,19
video1129,9
video113,18
video1130,9
video1131,8
video1132,10
video1133,9
video1134,11
video1135,12
video1136,10
video1137,8
video1138,13
video1139,10
video114,9
video1140,8
video1141,7
video1142,8
video1143,10
video1144,11
video1145,9
video1146,20
video1147,9
video1148,19
video1149,7
video115,16
video1150,11
video1151,10
video1152,22
video1153,10
video1154,14
video1155,9
video1156,9
video1157,11
video1158,8
video1159,11
video116,11
video1160,22
video1161,9
video1162,16
video1163,9
video1164,22
video1165,7
video1166,10
video1167,13
video1168,10
video1169,10
video117,16
video1170,12
video1171,8
video1172,10
video1173,12
video1174,16
video1175,10
video1176,18
video1177,10
video1178,10
video1179,11
video118,8
video1180,7
video1181,11
video1182,11
video1183,13
video1184,13
video1185,9
video1186,13
video1187,19
video1188,8
video1189,13
video119,10
video1190,20
video1191,10
video1192,8
video1193,16
video1194,8
video1195,11
video1196,10
video1197,12
video1198,8
video1199,10
video12,7
video120,12
video1200,12
video1201,20
video1202,10
video1203,10
video1204,10
video1205,9
video1206,12
video1207,10
video1208,12
video1209,9
video121,14
video1210,13
video1211,10
video1212,9
video1213,10
video1214,10
video1215,9
video1216,8
video1217,10
video1218,22
video1219,9
video122,12
video1220,10
video1221,8
video1222,7
video1223,8
video1224,8
video1225,10
video1226,11
video1227,24
video1228,10
video1229,9
video123,10
video1230,14
video1231,10
video1232,13
video1233,11
video1234,10
video1235,13
video1236,16
video1237,18
video1238,14
video1239,12
video124,10
video1240,10
video1241,11
video1242,20
video1243,8
video1244,17
video1245,9
video1246,11
video1247,15
video1248,9
video1249,10
video125,10
video1250,18
video1251,11
video1252,10
video1253,8
video1254,10
video1255,10
video1256,8
video1257,10
video1258,10
video1259,10
video126,8
video1260,8
video1261,4
video1262,9
video1263,17
video1264,11
video1265,16
video1266,11
video1267,14
video1268,9
video1269,18
video127,9
video1270,12
video1271,16
video1272,10
video1273,16
video1274,10
video1275,11
video1276,19
video1277,10
video1278,13
video1279,8
video128,11
video1280,16
video1281,10
video1282,8
video1283,10
video1284,10
video1285,10
video1286,8
video1287,10
video1288,9
video1289,8
video129,10
video1290,14
video1291,10
video1292,10
video1293,12
video1294,10
video1295,10
video1296,7
video1297,9
video1298,10
video1299,13
video13,9
video130,9
video1300,13
video1301,11
video1302,9
video1303,8
video1304,10
video1305,10
video1306,10
video1307,10
video1308,10
video1309,16
video131,18
video1310,9
video1311,10
video1312,9
video1313,9
video1314,14
video1315,9
video1316,13
video1317,9
video1318,10
video1319,15
video132,10
video1320,9
video1321,18
video1322,8
video1323,9
video1324,10
video1325,9
video1326,8
video1327,14
video1328,20
video1329,10
video133,9
video1330,10
video1331,15
video1332,15
video1333,14
video1334,10
video1335,11
video1336,10
video1337,9
video1338,9
video1339,20
video134,9
video1340,10
video1341,10
video1342,17
video1343,10
video1344,9
video1345,14
video1346,22
video1347,8
video1348,9
video1349,9
video135,14
video1350,9
video1351,17
video1352,10
video1353,11
video1354,11
video1355,18
video1356,9
video1357,7
video1358,20
video1359,9
video136,19
video1360,8
video1361,9
video1362,10
video1363,10
video1364,14
video1365,10
video1366,10
video1367,10
video1368,13
video1369,8
video137,12
video1370,13
video1371,15
video1372,12
video1373,8
video1374,22
video1375,11
video1376,10
video1377,8
video1378,10
video1379,10
video138,18
video1380,13
video1381,8
video1382,15
video1383,10
video1384,10
video1385,7
video1386,10
video1387,9
video1388,8
video1389,13
video139,9
video1390,13
video1391,23
video1392,9
video1393,11
video1394,13
video1395,12
video1396,8
video1397,9
video1398,10
video1399,10
video14,8
video140,10
video1400,10
video1401,10
video1402,8
video1403,9
video1404,11
video1405,13
video1406,16
video1407,7
video1408,18
video1409,9
video141,11
video1410,9
video1411,11
video1412,9
video1413,19
video1414,11
video1415,10
video1416,13
video1417,10
video1418,7
video1419,10
video142,9
video1420,8
video1421,9
video1422,15
video1423,17
video1424,13
video1425,9
video1426,12
video1427,13
video1428,14
video1429,13
video143,10
video1430,18
video1431,10
video1432,10
video1433,15
video1434,9
video1435,9
video1436,10
video1437,10
video1438,13
video1439,18
video144,9
video1440,8
video1441,13
video1442,11
video1443,11
video1444,10
video1445,9
video1446,11
video1447,8
video1448,16
video1449,13
video145,7
video1450,10
video1451,12
video1452,11
video1453,13
video1454,13
video1455,15
video1456,12
video1457,13
video1458,11
video1459,9
video146,9
video1460,9
video1461,10
video1462,8
video1463,5
video1464,10
video1465,9
video1466,9
video1467,10
video1468,9
video1469,22
video147,10
video1470,20
video1471,19
video1472,12
video1473,10
video1474,8
video1475,8
video1476,12
video1477,12
video1478,14
video1479,12
video148,11
video1480,10
video1481,10
video1482,6
video1483,12
video1484,8
video1485,8
video1486,5
video1487,13
video1488,10
video1489,13
video149,8
video1490,13
video1491,12
video1492,9
video1493,14
video1494,10
video1495,11
video1496,9
video1497,11
video1498,10
video1499,10
video15,20
video150,9
video1500,8
video1501,11
video1502,10
video1503,8
video1504,15
video1505,14
video1506,10
video1507,10
video1508,18
video1509,8
video151,10
video1510,10
video1511,15
video1512,10
video1513,15
video1514,11
video1515,7
video1516,10
video1517,13
video1518,13
video1519,10
video152,14
video1520,10
video1521,13
video1522,10
video1523,11
video1524,10
video1525,10
video1526,7
video1527,11
video1528,9
video1529,17
video153,13
video1530,11
video1531,12
video1532,6
video1533,16
video1534,11
video1535,9
video1536,18
video1537,9
video1538,12
video1539,9
video154,10
video1540,8
video1541,12
video1542,8
video1543,8
video1544,8
video1545,16
video1546,9
video1547,10
video1548,9
video1549,9
video155,11
video1550,8
video1551,9
video1552,10
video1553,10
video1554,10
video1555,10
video1556,9
video1557,11
video1558,9
video1559,8
video156,16
video1560,16
video1561,10
video1562,8
video1563,6
video1564,7
video1565,10
video1566,10
video1567,18
video1568,15
video1569,9
video157,11
video1570,8
video1571,8
video1572,16
video1573,8
video1574,8
video1575,16
video1576,9
video1577,14
video1578,13
video1579,10
video158,17
video1580,13
video1581,9
video1582,19
video1583,8
video1584,8
video1585,13
video1586,10
video1587,13
video1588,9
video1589,10
video159,12
video1590,12
video1591,8
video1592,19
video1593,10
video1594,10
video1595,19
video1596,9
video1597,10
video1598,22
video1599,10
video16,17
video160,9
video1600,11
video1601,11
video1602,8
video1603,11
video1604,16
video1605,10
video1606,9
video1607,11
video1608,19
video1609,8
video161,8
video1610,19
video1611,16
video1612,12
video1613,9
video1614,11
video1615,8
video1616,12
video1617,13
video1618,10
video1619,9
video162,9
video1620,9
video1621,10
video1622,10
video1623,10
video1624,9
video1625,11
video1626,10
video1627,8
video1628,10
video1629,17
video163,12
video1630,9
video1631,21
video1632,11
video1633,7
video1634,10
video1635,12
video1636,13
video1637,10
video1638,10
video1639,8
video164,15
video1640,8
video1641,8
video1642,10
video1643,10
video1644,11
video1645,9
video1646,13
video1647,12
video1648,3
video1649,8
video165,15
video1650,9
video1651,10
video1652,8
video1653,12
video1654,10
video1655,9
video1656,15
video1657,13
video1658,10
video1659,10
video166,8
video1660,8
video1661,10
video1662,12
video1663,12
video1664,10
video1665,12
video1666,8
video1667,11
video1668,12
video1669,8
video167,11
video1670,9
video1671,8
video1672,11
video1673,11
video1674,18
video1675,12
video1676,9
video1677,9
video1678,10
video1679,11
video168,8
video1680,11
video1681,10
video1682,21
video1683,8
video1684,9
video1685,9
video1686,16
video1687,10
video1688,10
video1689,9
video169,10
video1690,11
video1691,9
video1692,13
video1693,9
video1694,10
video1695,9
video1696,13
video1697,10
video1698,11
video1699,16
video17,9
video170,16
video1700,10
video1701,13
video1702,15
video1703,12
video1704,11
video1705,10
video1706,22
video1707,10
video1708,10
video1709,9
video171,13
video1710,13
video1711,13
video1712,9
video1713,9
video1714,10
video1715,8
video1716,15
video1717,7
video1718,19
video1719,8
video172,11
video1720,10
video1721,22
video1722,9
video1723,8
video1724,8
video1725,16
video1726,11
video1727,15
video1728,15
video1729,12
video173,10
video1730,11
video1731,10
video1732,10
video1733,20
video1734,13
video1735,8
video1736,8
video1737,9
video1738,11
video1739,10
video174,13
video1740,10
video1741,10
video1742,16
video1743,10
video1744,10
video1745,10
video1746,11
video1747,10
video1748,12
video1749,24
video175,10
video1750,12
video1751,17
video1752,9
video1753,10
video1754,9
video1755,7
video1756,12
video1757,9
video1758,14
video1759,10
video176,10
video1760,8
video1761,24
video1762,12
video1763,14
video1764,12
video1765,7
video1766,14
video1767,10
video1768,20
video1769,10
video177,10
video1770,16
video1771,16
video1772,8
video1773,18
video1774,10
video1775,10
video1776,11
video1777,18
video1778,8
video1779,10
video178,7
video1780,10
video1781,8
video1782,10
video1783,11
video1784,8
video1785,17
video1786,9
video1787,18
video1788,24
video1789,15
video179,9
video1790,13
video1791,11
video1792,10
video1793,8
video1794,8
video1795,12
