video_id,keyframe_count
-4wsuPCjDBc_5_15,9
-7KMZQEsJW4_205_208,3
-8y1Q0rA3n8_108_115,7
-8y1Q0rA3n8_95_102,7
-9CUm-2cui8_39_44,5
-AwoiGR6c8M_10_14,4
-Cv5LsqKUXc_17_25,13
-Cv5LsqKUXc_71_76,9
-DKuLXYoY3g_14_20,10
-DRy7rBg0IQ_31_37,6
-FugkxLmGO4_5_16,8
-Ms9tsWmhyU_80_95,7
-YI0cxuNcq8_262_272,9
-_aaMGK6GGw_57_61,4
-_hbPLsZvvo_172_179,12
-_hbPLsZvvo_18_25,12
-_hbPLsZvvo_19_25,10
-_hbPLsZvvo_19_26,12
-_hbPLsZvvo_211_219,13
-_hbPLsZvvo_269_275,10
-_hbPLsZvvo_288_305,27
-_hbPLsZvvo_323_328,9
-_hbPLsZvvo_43_55,19
-_hbPLsZvvo_49_55,10
-_hbPLsZvvo_5_8,6
-bjOB4zS0uE_100_105,5
-dm-ds5rRaM_44_52,7
-joBOHlg5J0_72_80,6
-mAoVOhKy0c_4_9,5
-pUwIypksfE_13_23,9
-rkErLY0rRc_26_35,8
-rkErLY0rRc_63_67,4
-rvjK0lE3z4_33_43,9
-s4-6QTT7HE_235_241,6
-t-ZWaJeH-o_0_15,11
-uT_1VDvXok_8_15,7
-vKO3uSG6Do_3_14,10
-vg3vR86fu0_1_6,5
-wa0umYJVGg_100_115,13
-wa0umYJVGg_117_123,6
-wa0umYJVGg_139_157,15
-wa0umYJVGg_168_176,7
-wa0umYJVGg_23_41,15
-wa0umYJVGg_271_276,5
-wa0umYJVGg_286_290,4
-zOrV-5vh1A_69_76,6
00jrXRMlZOY_0_10,9
02Z-kuB3IaM_2_13,5
04Gt01vatkk_248_265,14
04Gt01vatkk_308_321,11
05Gtb7_9tLU_0_9,5
05gNigkqfNU_11_23,10
05gNigkqfNU_24_32,7
05gNigkqfNU_25_34,8
05gNigkqfNU_78_84,6
06CbMa0kDr8_3_13,9
08pVpBq706k_175_212,27
0GXq1An3yHI_22_35,11
0I4VKj4d0WI_24_40,13
0IDJG0q9j_k_1_24,19
0M-PyX2DbZc_25_31,6
0NPtAv3_uVI_46_54,7
0ONJfp95yoE_1_10,8
0RWJEOScToE_414_421,7
0SMOK2ql7Pg_5_12,7
0bSz70pYAP0_5_15,9
0hyZ__3YhZc_279_283,4
0hyZ__3YhZc_289_295,6
