video_id,gop_count
qOTIoIseQtw_000001_000011,4
ITYTeU9_n2Y_000045_000055,9
oN0dnURr3Pc_000007_000017,8
1W4mXOhrXhs_000010_000020,5
Aig3sKZCSLo_000135_000145,9
j-uDx-np0Sk_000342_000352,9
16oBOWKMwOk_000333_000343,7
_GsVXMWkBO4_000467_000477,9
F3kxAB1ealM_000076_000086,9
65rN0Vddl_k_000002_000012,9
x4bU02DoqS0_000020_000030,7
BHbmle3Fv1E_000290_000300,8
glNEBar_1-Y_000134_000144,9
_n0cT2OS9aA_000022_000032,7
CJOeYElSu0o_000661_000671,9
iDsD18OAv_Q_000047_000057,9
9cMLd-7Yj3w_000006_000016,7
BqX7dCrqAyA_000037_000047,9
5AsU7ntJxd4_000035_000045,7
F6tyMvJJvUE_000185_000195,9
vgBU9a7CdoI_000003_000013,4
xKTzJvhfpwQ_000000_000010,9
UBvJD2xjtvY_000000_000010,9
COIqoei564c_000010_000020,8
0QnKyOvyUtg_000012_000022,9
_ekOIpM7Qds_000257_000267,6
kP7uA3GaNno_000003_000013,7
0tJH7ktOmz8_000108_000118,6
sovJ_-BsO6s_000018_000028,8
vapBr5mE9b0_000006_000016,4
sMtcdADtkNU_000004_000014,4
z-5bAAt5omo_000002_000012,7
vHPlRp82Xt0_000000_000010,5
DYpTE_n-Wvk_000008_000018,4
pK7GKUlwllE_000023_000033,9
6A9Ii7xNZtQ_000250_000260,8
RuFUVbQyW84_000002_000012,4
c_gQ9CSaZY4_000000_000010,9
4iLfjkqwY84_000056_000066,8
aqWUH52M4qQ_000002_000012,8
qdTuUhwcNOY_000013_000023,8
Q1iCbWf13TY_000000_000010,9
PbyZxS_-BZE_000089_000099,8
jjCJV5HpPWM_000052_000062,8
pdz8xQ2ZbrU_000022_000032,6
qQG6TKXcj7E_000019_000029,9
9av9efQ8gZA_000026_000036,6
cgxRomHCp9M_000017_000027,9
9jiRn7q-Fl8_000075_000085,8
NMZ5kxQ3heQ_000000_000010,3
I7HaSjJFwio_000007_000017,8
TNCpJ0EhfjY_000088_000098,8
5d7uG1loKw0_000135_000145,9
kG7ZSgx3Pj8_000002_000012,6
cOktW9SKRBM_000003_000013,6
CSIKgm1nVBk_000048_000058,8
Jm1r-lF68dQ_000028_000038,8
io51Bqa5XWo_000004_000014,8
TeqJkA8QobE_000056_000066,7
0q9bG_dfKPM_000155_000165,8
05zxbMpvz5o_000154_000164,7
ugCEqNrTRXo_000064_000074,9
t6l6iIXeVrk_000054_000064,4
R6s9Dla6twc_000000_000010,9
n0Ba42fU1cI_000072_000082,9
S72rhDECjqg_000088_000098,8
ggVhG51m7e0_000000_000010,7
ZhXFSx3qTy0_000001_000011,3
8ZlXJeIhp7M_000141_000151,9
roTME3JXaMk_000093_000103,6
dKa-Qj9xSYA_000001_000011,8
9CO1Qz3vbQI_000000_000010,8
1z9tw7zqYYI_000037_000047,5
FbpFw3nEEek_000022_000032,7
TDkiHCThggI_000044_000054,5
N0ULRlBkgmY_000095_000105,6
y5y1k6eJXyA_000021_000031,4
9cha2WxlvSM_000005_000015,9
TJEjDMYUzWs_000093_000103,8
mmquHe9eq94_000041_000051,8
q8yEUq7_KDc_000031_000041,8
N3xWCui6fNY_000001_000011,8
9L_XyPhWCZc_000363_000373,9
DX3P4JadFTI_000102_000112,9
TzfkS-SPp30_000013_000023,8
zp8F5FHt5wA_000043_000053,8
1Qt1rnOOxjM_000041_000051,8
UBwqZVYdaLo_000006_000016,9
Lvg6fb0DXSY_000035_000045,8
J2MNJqVHPX8_000001_000011,8
nnYTXXx4wrU_000140_000150,7
McuK1MiwbFo_000002_000012,7
R4p5Iva2vwM_000000_000010,9
PO4tDhBEjzk_000118_000128,8
1JJNvXkjF-s_000057_000067,8
ZnN8DEz6_nU_000226_000236,8
jjLqy1vOZvs_000000_000010,9
3bSiHbbGj7A_000070_000080,9
8f6x0pEQRwg_000370_000380,5
-9i4bm2OiZ4_000010_000020,5
Bt0kmp3D3WA_002026_002036,9
AaYptqUaAy0_000005_000015,8
6Tz5xfnFl4c_000009_000019,8
0Gv1vwmt5hQ_000001_000011,3
wr6g0JdgqME_000095_000105,8
FarSgjHkyJQ_000074_000084,5
l8GV50-JvW4_000015_000025,9
NHjJ1V50pg0_000000_000010,9
7aqST6yt4mA_000013_000023,7
as7wX24qOZE_000024_000034,8
NhPb5IPKtS8_000000_000010,5
cIN2PrtXlKk_000201_000211,8
AiKoC6xwVjo_000058_000068,7
c2pnl2kFWDc_000032_000042,9
d5zxbO-4RpM_000594_000604,6
4u41-OsKbcY_001144_001154,9
qgEOJ_9hKH8_000000_000010,9
sWEjy_ksmkE_000169_000179,8
0LqfsamL864_000098_000108,5
0Pg-veCh7P4_000503_000513,7
kqzIkm7q2ko_000014_000024,8
vmJsdW8sYlc_000057_000067,5
Wuu1e6LcuRc_000002_000012,5
e2LIBGlv2Ds_000016_000026,6
2elHqLIPUNA_000022_000032,9
1TWdrO8cCxA_000036_000046,7
39Hvdi-q6qI_000009_000019,8
I9a4thMzxGc_000003_000013,9
mwty9ZmnHLI_000040_000050,8
ZqZyRVnu-Xk_000044_000054,9
aZOhML7NrBE_000013_000023,7
di4ELJsbCc0_000004_000014,7
-CkwBZGgNes_000041_000051,8
z7mGEYIF_5g_000025_000035,9
Qub8t8_s4Vw_000022_000032,8
idS_distWcQ_000066_000076,6
BD_X0yDQeIQ_000000_000010,9
E8ETFFvx1ac_001714_001724,6
55O9JdqfRj8_000004_000014,5
7swFYJ1a9Jw_000020_000030,8
UfNzrsPN4Sg_000006_000016,9
yWo0uqyuY38_000007_000017,5
FDyuUq0iErc_000000_000010,7
SK9XaE4D-Lc_000038_000048,9
BhU4HGJ2q4s_000004_000014,9
jablL-kz594_000010_000020,9
dMt_nuBNdeY_000036_000046,9
BxVfS2g99Lg_000457_000467,7
HOEFQ-iJjeg_000009_000019,8
5sg_PjZ2kvo_000011_000021,8
yz4c7tfRtp0_000015_000025,8
xBk-SYt817U_000000_000010,9
2D6ktA8cEOA_000004_000014,3
t7vE1iVaV10_000039_000049,8
NyDRZzB53eQ_000003_000013,8
2qGGmKFdeaU_000013_000023,8
_uWyIVD4SF4_000050_000060,9
odC9aTqeB3w_000000_000010,9
O2BP1nQOJ54_000010_000020,9
D4qZ6b3ovuc_000031_000041,8
DY4lLaaQfmU_000002_000012,9
yi_opsuyb8g_000014_000024,8
Ya2bHGVEAvw_000116_000126,8
W0p3KEBf-ww_000088_000098,8
-NgXQZMUbfc_000000_000010,9
EhZe4kaMXNg_000121_000131,8
-1GsilN0qjU_000025_000035,7
W9MaEjzVHxM_000018_000028,8
OBUflxGuAKA_000045_000055,9
PknhJplrnng_000002_000012,6
Oo1EuRz_9Ws_000003_000013,2
rJZkSIU1ldY_000011_000021,8
bEN-M8LaxN4_000051_000061,8
0fI9SzAhAdw_000024_000034,8
u0Xy2mDtY2s_000002_000012,3
xn3RnUcBKAQ_000009_000019,7
yip0BhuODRA_000000_000010,5
xME1X5_D88c_000004_000014,4
GoFJb86v1pg_000000_000010,5
f8TrQhs3-bE_000006_000016,6
hGfO32w6gEk_000483_000493,9
kQYMssWn2xw_000014_000024,5
Gg3kWE-WCHk_000001_000011,9
nj-r8CHwsGY_000086_000096,8
-AaQj4kGtKw_000277_000287,8
Yks44LrW0B0_000095_000105,8
CpUq6jbCR8A_000039_000049,4
iBVnffRj580_000025_000035,5
r2YaWtSSftU_000111_000121,9
cyhmYWGPFdU_000002_000012,8
tHOAJA8QWGc_000018_000028,8
7ot8nGyVrSM_000004_000014,5
KaydIYnjxcA_000001_000011,4
QhVOLj6rMXk_000235_000245,8
w8Q_OXRv7aQ_000023_000033,9
8c6UC6rPIgE_000000_000010,9
_hxSAwmzweA_000083_000093,7
t9vRBv4iQxo_000044_000054,9
uQ-y2z53dZU_000345_000355,7
qAuE78eUgqk_000000_000010,5
U1mu9Cyn4UE_000008_000018,7
pwDXdJlF6lg_000000_000010,5
1F_2D3QYnBI_000042_000052,9
UvkmJiefpbM_000000_000010,9
5m_yUAT-sZw_000090_000100,9
zBylfdh5sRg_000000_000010,7
2v3otYP4bZc_000196_000206,8
1GuRefOasfs_000025_000035,9
4obm1y3h3ww_000055_000065,9
m0mo6zbBkGc_000001_000011,6
5H7CMIGoY1I_000002_000012,7
Y_dxesnBzg0_000020_000030,8
adB0lw94_SU_000053_000063,9
25LIDWAt2rQ_000002_000012,6
Vxzbzu514AE_000200_000210,7
BBO43B9WOUE_000005_000015,4
KYDzRdC1o4s_000242_000252,6
f55dXaZ8QfI_000013_000023,7
b6NR1LrHO14_000033_000043,6
TNf35_p6V6g_000014_000024,9
X-bEQxALkfo_000000_000010,7
GCtPDRrBBc0_000000_000010,6
IA26z-RVzBs_000101_000111,8
gmPNqbpI04w_000044_000054,9
-gva8AnxrLk_000087_000097,9
LiXzbFqRoos_000001_000011,5
7lPFqjNlWBI_000001_000011,8
KyR9GKqxzlQ_000000_000010,9
X6dC9pu5H3k_000001_000011,8
4-9_szZr2xo_000015_000025,3
igdxTSPte6E_000000_000010,5
RluxqT0Ha_o_000015_000025,8
FQrCs4eCKiA_000064_000074,8
m2_qmRnjICE_000017_000027,9
XpvFmfCOMqc_000053_000063,5
xtMTgyNduLc_000180_000190,8
yH2yhUUAy3k_000057_000067,8
i4diTKb0yQU_000077_000087,7
-PgjjBi_gqM_000047_000057,7
EsqL0r31wfU_000180_000190,9
H2D2GQCAO9A_000010_000020,9
d38G9PMkHiE_000012_000022,9
EEEPsupqXvQ_000000_000010,6
pU6pzgU0H3g_000091_000101,9
VvckL4ljuBY_000024_000034,8
S6KD0lBYRKA_000021_000031,3
Q872ItQEsNA_000002_000012,7
--sGO9m2Was_000000_000010,9
26_vER_QJ4A_000043_000053,4
nD7Feb72IEw_000034_000044,9
HHcQP_GToSQ_000057_000067,8
9vvv9vfDiuo_000147_000157,9
RGO61VQG2XE_000126_000136,8
WOTrGHQaInY_000314_000324,8
WU1NB60DsBA_000151_000161,5
1FfnbzNI500_000023_000033,5
9UyDJGvS1ww_000024_000034,5
eP268o-sy-E_000019_000029,9
CYGlFBgKZV0_000102_000112,7
Ln1WbHe4EsE_000004_000014,8
WzHZlD-ouhg_000314_000324,9
YrLVfDt4qKk_000026_000036,9
sYDsai4By_c_000031_000041,7
Y50gGDw8gWs_000046_000056,6
Rp7HlcxPVwQ_000019_000029,8
9HJbNmOdiAk_000003_000013,8
1SpPRDN7HhM_000000_000010,5
_u6Hqbl-EMs_000000_000010,5
rc2boJYORgg_000069_000079,7
M4T7KgWIy1I_000039_000049,8
3fr2XlOq8Dk_000006_000016,9
5Cj7u2FAMLs_000211_000221,8
E-YMJ3KwfWE_000150_000160,6
e-zNthdxJFc_000002_000012,9
iMdMvfR1sGY_000008_000018,9
Zuddaf9Psgk_000021_000031,5
pUQ15ohBJ6I_000007_000017,3
juvr4s8kKOo_000177_000187,7
oDcugXejkxU_000002_000012,6
PnbgJZA4MLA_000018_000028,8
1wEr2NW7HPU_000199_000209,8
SUfUbruAUbE_000000_000010,9
Jps_ov3HZIY_000042_000052,8
lYl6uGA05rY_000039_000049,7
1xc8PJxGi5w_000001_000011,5
9tdQ88Q5Y9A_000000_000010,9
890WycqQvNc_000933_000943,8
24TJ6ahlXug_000000_000010,9
EldbwC42gjM_000116_000126,8
3pUQYSjpLlU_000031_000041,8
nDAa6nF4rPw_000005_000015,5
epMX0F2I5jM_000047_000057,8
g7Szhw5pyGY_000047_000057,8
q9fj-Qzpgyc_000058_000068,7
bNfhLd1hACg_000315_000325,9
MiltUZjRFIo_000149_000159,9
_f7qCwXJQmQ_000035_000045,8
