video_id,keyframe_count
--07WQ2iBlw_000001_000011,8
--33Lscn6sk_000004_000014,6
--7VUM9MKg4_000136_000146,4
--7goKgS4kc_000015_000025,9
--8FQVwWH0M_000003_000013,9
--9s8lCov-I_000002_000012,4
--DuEOFc2OQ_000040_000050,9
--Kr1PZaPDI_000001_000011,3
--PwWfN1Ae4_000097_000107,8
--RREBY3XLI_000013_000023,9
--SIRvUHMTc_000000_000010,5
--SOz3xjWfA_000037_000047,5
--SrV9bGzRA_000197_000207,8
--XWWLL8Spk_000000_000010,7
--Y25nDn2Wk_000060_000070,9
--dVV4_CSvw_000033_000043,8
--gEBElruic_000067_000077,9
--o545tThdQ_000088_000098,9
--oJV4vFNeI_000003_000013,3
--sGO9m2Was_000000_000010,9
--uD0h1Rpvc_000024_000034,9
--uGS0Y4D6k_000009_000019,9
--wYHtYMK9o_000008_000018,9
--yCUKj4Oq4_000018_000028,9
-0-s1eu4sF4_000031_000041,9
-02UO1KSdZ0_000025_000035,9
-081qTv9fXc_000216_000226,9
-0CNBzthkZ4_000004_000014,9
-0COMyPvkHU_000061_000071,9
-0Eu83ggVq4_000235_000245,9
-0IErS_cisg_000017_000027,7
-0L4fgr5GE0_000001_000011,9
-0L4z8D2eGs_000043_000053,9
-0Li7rc78jQ_000128_000138,9
-0ML-FXomBw_000001_000011,9
-0Mfuocujdg_000000_000010,5
-0NOgzGpSEY_000003_000013,9
-0NQHRndkPI_000004_000014,9
-0OK3nbLKgM_000012_000022,5
-0QQoIK10U8_000020_000030,9
-0WZKTu0xNk_000112_000122,9
-0cIpwdV-DU_000722_000732,8
-0cS8MCIJZY_000006_000016,7
-0dYbFhZsGU_000237_000247,8
-0eFCgzIWFk_000001_000011,9
-0eUJLYCmbs_000001_000011,9
-0qOFqf_eRk_000016_000026,4
-0sNYhpevoU_000000_000010,9
-0yP0wBW_uQ_000003_000013,9
-1-_dKO7AHo_000193_000203,9
-10xhPhBo0k_000498_000508,8
-12MxdP5uVo_000004_000014,9
-15OAjLm520_000006_000016,9
-15UpGVyV4w_000001_000011,7
-18X6h92xpw_000024_000034,8
-1AV2VguEDw_000136_000146,9
